accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1744,0.434,0.30723853770976933,-3.450870496500317,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2088,0.4996,0.35079249717671385,-3.3017819427282054,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2256,0.16620577023279462,-4.08837575414799,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1348,0.368,0.25899006669435887,-3.538284095982269,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1808,0.4672,0.32376137039983516,-3.302747869338082,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2104,0.5048,0.3553684696668599,-3.271254954681942,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.068,0.2236,0.16774484248453395,-4.17759686398417,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1212,0.3476,0.2458619096051785,-3.5595415096325653,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1736,0.4308,0.30848346444517893,-3.487252187534279,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2088,0.5024,0.35232596504955044,-3.3001577812635827,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.232,0.17083316234378457,-4.05173092565671,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1284,0.3468,0.2503482253188851,-3.5535882365637343,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1824,0.4484,0.3180301949047288,-3.426680205798021,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.226,0.5032,0.3638442967531548,-3.3579537796090118,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.07,0.2036,0.15942294459241918,-4.284580697807611,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1232,0.3604,0.24913482668361667,-3.546697273938611,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1748,0.4436,0.3109525401779826,-3.4311260515490094,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.2288,0.5064,0.36668301340177056,-3.2541181718842096,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2312,0.17492951606052665,-3.9249431908376486,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3408,0.2284632086187341,-3.7419099411475174,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1504,0.4184,0.28728053195154035,-3.7002129343259296,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1872,0.4712,0.3303908562315962,-3.561589851480932,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.2316,0.17331033951646313,-3.8338698131916433,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1116,0.3308,0.23207459650991277,-3.7339370805634884,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1568,0.4032,0.2864443391899683,-3.8439635500691702,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1916,0.4788,0.33342817487848125,-3.7983421791745102,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.2552,0.19158671666511387,-3.905855595633085,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.13,0.3416,0.24752058566222612,-3.6556329866683175,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1668,0.422,0.29811018797850436,-3.844331889545577,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1888,0.4948,0.33490311658495714,-3.231116881264086,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2416,0.17835866578820675,-3.82526175675454,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.122,0.3472,0.2461003140998543,-3.691848422726282,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1676,0.4376,0.3046830835900409,-3.605528598569138,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1952,0.4836,0.33943401047701105,-3.574318129375836,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2328,0.17005116571320966,-3.992274587476215,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1152,0.3288,0.23522430161388994,-3.6701993346935313,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1548,0.4312,0.2955587753908609,-3.7738751451696517,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1896,0.4624,0.3272264581830843,-3.560275075175799,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.078,0.23,0.1745690652794962,-3.863718709710859,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1264,0.3444,0.24729762133797098,-3.652576414730445,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1508,0.4112,0.2837089801117823,-3.7340063806472017,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.2032,0.4728,0.34052969715438264,-3.7824495354828045,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0624,0.2376,0.1662613334105108,-3.8611309743355045,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1252,0.3564,0.24909312355222346,-3.642097990892586,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.168,0.4436,0.3053382236026817,-3.6997351220444363,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
