accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0596,0.1816,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1454551819707634
0.0884,0.2508,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1884312532363378
0.0984,0.2876,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2091742954443899
0.1088,0.3008,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2178933767744411
0.0604,0.1876,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1480358373951159
0.076,0.2224,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1722936487199858
0.098,0.274,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2007907188874376
0.1008,0.2848,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2089083778726898
0.0684,0.1964,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1547548889503913
0.0832,0.2344,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1843001362291105
0.088,0.2656,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1951320765222678
0.0904,0.2976,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2044729836368747
0.058,0.1776,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1431909540296254
0.0924,0.2516,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1944209193648406
0.1024,0.2744,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2117748339646049
0.1028,0.288,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2106995302653399
0.0472,0.1736,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1366941311057522
0.088,0.2356,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.186161501230389
0.0936,0.2836,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2020078070755092
0.1,0.2896,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.2100344334070406
0.06,0.1712,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch,0.1418279360739188
