accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0432,0.206,0.14400372612742215,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.228,0.15402222261549497,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.144,0.11585505766055519,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.174,0.13588123809237165,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2008,0.14922328213720998,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.054,0.23,0.1587328798566449,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1316,0.10575268247863762,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.166,0.12636172465835083,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.2008,0.145509226132622,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2184,0.15749704796285274,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.1488,0.11452030273820599,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1684,0.13133344807771044,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.204,0.14767295392111726,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.216,0.15349340065218176,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1276,0.1102254926992147,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1808,0.13495708650165958,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.2188,0.15648575718072055,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2224,0.15823357001001692,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0272,0.118,0.10125259000317739,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1668,0.1290199331339045,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.2016,0.14317489146092457,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2156,0.1513175371685272,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0264,0.138,0.10713114650630273,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1732,0.13612589435806655,5,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1924,0.14268080367860544,20,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.212,0.15077498586340662,50,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.132,0.10615261260300127,1,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.1636,0.12397782135028498,5,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2068,0.1480342691335816,20,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2168,0.15071995863902274,50,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.1424,0.11227256981516427,1,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1636,0.12743839334111523,5,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.202,0.1438880170038769,20,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
