layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block2,0.10949372207952124,0.005610863327306854,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,4.163255681986676,4.299677831350609,V4,supervised
block3,0.09656570106391013,0.007175906585716032,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,2.182589592458574,2.3045946620221507,V4,supervised
block4,0.10123152399269106,0.00494816224231654,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,1.8673685716266533,1.9151193044196406,V4,supervised
block1,0.16575442721654016,0.0073293386722232835,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,11.777685794831218,8.667985483061925,V4,supervised
block2,0.12158645915378027,0.009246006542575817,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,8.255984071906676,6.034078865576757,V4,supervised
block3,0.16124698239188145,0.0049072763622302895,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,5.687917738611762,4.014160126918305,V4,supervised
block4,0.16737014763114422,0.005163200910640627,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,3.9304770837330554,3.693635748180003,V4,supervised
block1,0.2363541817991378,0.007304545591919235,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,23.321962459603345,59.488059369553305,V4,unsupervised
block2,0.1596599881255756,0.007174111900568271,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,43.33093913630285,143.96704249087503,V4,unsupervised
block3,0.23126297912297678,0.007469708892988206,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,69.64128277847287,110.57875524211012,V4,unsupervised
block4,0.16466936875380678,0.007402825725312261,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,43.03675379216614,207.73351692841365,V4,unsupervised
block1,0.22292233170562367,0.006284234069629724,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,19.6139084250959,43.612514662310126,V4,unsupervised
block2,0.1484579037792296,0.007513519758346598,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,46.569976868704,112.93197779882912,V4,unsupervised
block3,0.23268365167031146,0.0070051390427856505,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,78.87428860213971,117.51407091538088,V4,unsupervised
block4,0.17383561491107224,0.00660476518436426,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,63.21705605376319,390.76025581351183,V4,unsupervised
block1,0.25341993961558246,0.006247836703117761,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,27.00152872462665,37.35552304646143,V4,unsupervised
block2,0.15853675522952662,0.006072270540511834,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,44.11012079254836,73.03678414296142,V4,unsupervised
block3,0.2519928945218448,0.00376056832927707,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,66.6894936384193,101.75702049250971,V4,unsupervised
block4,0.21216652155100918,0.006649860864815843,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,34.49565510896212,208.22446397460564,V4,unsupervised
block1,0.23264885728620743,0.006526748133486036,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,19.741332660638353,29.788398572325004,V4,unsupervised
block2,0.16138381289768894,0.006607192767300763,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,45.62804310203846,75.82112114569289,V4,unsupervised
block3,0.2522100799369262,0.007616617097898855,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,74.20466104018078,111.00545268232116,V4,unsupervised
block4,0.22041965200850414,0.006260262092650286,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-lin,46.31114647835736,356.9351244451548,V4,unsupervised
