80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
4.0,1.9407384929089573,3.277905425962686,layer2.3.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,1.8843758037532552,3.127736486696125,layer3.0.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,1.8266946728740006,3.04645548673537,layer3.1.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,1.779641912756951,3.038308512835293,layer3.2.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,1.7477552387923938,3.2419695310532286,layer3.3.relu,ResNet50,Egomotion,Supervised,Taskonomy
5.0,1.7190580840402911,3.3201620440410737,layer3.4.relu,ResNet50,Egomotion,Supervised,Taskonomy
5.0,1.6957772046683484,3.4021801026515606,layer3.5.relu,ResNet50,Egomotion,Supervised,Taskonomy
5.0,1.7051132245759124,2.9785754966481157,layer4.0.relu,ResNet50,Egomotion,Supervised,Taskonomy
1.0,1.8142635795748667,1.3944124484766056,layer4.1.relu,ResNet50,Egomotion,Supervised,Taskonomy
1.0,1.8675982587789366,1.1207319099729571,layer4.2.relu,ResNet50,Egomotion,Supervised,Taskonomy
4.0,2.3105308748588533,4.612245760087389,layer1.0.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,2.301185578746315,3.906865955610767,layer1.1.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,2.208070313256882,3.928058453214085,layer1.2.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,2.1582970891631392,3.875216886248149,layer2.0.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,2.1080703176802116,3.5821587954475924,layer2.1.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,2.133846267916202,2.913929054339535,layer2.2.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,2.0252211761799903,2.9027071800417055,layer2.3.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.9372528732078087,2.409322267178758,layer3.0.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.8858416783374237,2.2358396092173356,layer3.1.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.8414404593474638,2.1893364465951244,layer3.2.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.8040791593636931,2.208858804329127,layer3.3.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.7703544102740874,2.2307672014135576,layer3.4.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,1.7425229569028133,2.1651266593640672,layer3.5.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,1.7017964842870463,2.2997218178694285,layer4.0.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
4.0,1.7012584776676878,2.5709747089208026,layer4.1.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
5.0,1.7036803745243643,2.849258526015457,layer4.2.relu,ResNet50,Fixated Pose Estimation,Supervised,Taskonomy
3.0,2.347654177778035,2.29659204364593,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy
3.0,2.3005965782601097,1.9925522893819598,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy
2.0,2.1675507210002354,2.0003775456665163,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy
2.0,2.2073013988143737,1.7126330423710783,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy
