accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0904,0.2784,0.20064498040213288,1,1,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1364,0.4044,0.275334241237576,5,1,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1716,0.4724,0.3173873194223606,20,1,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1884,0.4852,0.33526475533068656,50,1,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.0824,0.2468,0.18575407991006807,1,2,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1384,0.3908,0.27137043605157546,5,2,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1728,0.462,0.31713410931564373,20,2,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1844,0.4844,0.33270551477796856,50,2,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.0788,0.2688,0.18717047452390304,1,3,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1236,0.3804,0.2590830889120125,5,3,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1924,0.4784,0.3338330462945843,20,3,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.192,0.5008,0.3403248164494672,50,3,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.0984,0.2952,0.21114166406939494,1,4,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.13,0.396,0.27158654283961825,5,4,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1732,0.478,0.32197303066015953,20,4,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1928,0.4868,0.33703784769297856,50,4,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.0996,0.2988,0.21110555186789326,1,5,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1428,0.4292,0.282751946754954,5,5,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1764,0.472,0.32011366133127783,20,5,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.1928,0.4912,0.34029898895646227,50,5,features.1,AlexNet,Object Classification,Supervised,PyTorch
0.0864,0.2704,0.1924779548728162,1,6,features.1,AlexNet,Object Classification,Supervised,PyTorch
