layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_6,0.3906013095671115,0.004503991356872617,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",27.596302097645545,208.9320169334805,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_7,0.4066077441205239,0.004511282839092717,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.664710601054466,244.39873777644272,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_8,0.39515980811048906,0.004537790828136689,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.807776845377,98.02895882962265,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.39953629724695455,0.00448593939917088,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.359527087002927,85.33308128877756,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1,0.28176895046076733,0.0038228656917975116,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.667692534334858,33.02832994154075,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.24388190079797156,0.0038177738129221046,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",10.461381432690896,26.462377947425992,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.3261044884753246,0.0043073288745951776,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",29.3391428023541,157.22201199997932,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.3460944538014614,0.004468567785205829,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",26.56756853645129,409.02978729155285,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.3734132875714545,0.004506591377603952,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",51.72132354313078,579.9050012060395,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.3872714328999873,0.004642672954892126,resnet18-depth-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",32.191181865295775,594.9087999947268,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
