accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1632,0.4148,0.29205911623143266,-5.357155538301756,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.172,0.4616,0.31464657855214434,-7.994690189276898,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.072,0.24,0.17477448112605265,-4.203661923101013,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.108,0.318,0.22592825501079325,-4.354995543855363,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1524,0.4028,0.2822571806920772,-5.257949138314467,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1864,0.4464,0.3186225629367959,-8.939326078510991,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2156,0.16794950738061673,-4.317976708485922,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.112,0.3092,0.2289290075925344,-4.387886881465256,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1568,0.4148,0.2888526678801297,-5.109383205753329,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1908,0.4584,0.3250420295459409,-8.284227771759976,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2184,0.16745389856884316,-4.293083135170974,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3056,0.21633046557595698,-4.365918070309208,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1452,0.3868,0.271738151835839,-4.9856880767490095,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1712,0.4324,0.30509196457834076,-6.83262154744787,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0804,0.2348,0.17400952270019315,-4.114448579644472,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.3112,0.21865153205261367,-4.278160977860387,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.3928,0.26858630118143967,-4.8172798702377495,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.176,0.4384,0.3103086122087096,-7.247212253663191,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.2504,0.1882699100240012,-4.125174118234917,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1192,0.328,0.23679771279923353,-4.214131866635149,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.156,0.394,0.28276962419630775,-4.89906295489739,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1788,0.434,0.30938899568682293,-7.022062647094191,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.2228,0.16440721028159475,-4.121301398966968,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1076,0.3136,0.2227509030657567,-4.2285441425268,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1432,0.3912,0.27290033406748143,-4.8575432073833635,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1752,0.4328,0.30766094303421515,-6.690800168903226,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2216,0.15291028766485668,-4.288407316041408,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1132,0.3192,0.2268578410186236,-4.243293494057962,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.148,0.4056,0.2801955686082815,-4.897586741877489,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1716,0.434,0.30769504919517915,-7.568152321760956,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2352,0.18001422433324035,-4.082033275729492,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1092,0.3084,0.2240664522006512,-4.2741256674000425,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1568,0.4096,0.28729069404380064,-4.858418421463928,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1736,0.4316,0.306731152317729,-6.868909600505291,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2296,0.1760652048891883,-4.101951494999523,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1164,0.3124,0.22745319510822032,-4.372287045040628,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
