layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block1,0.32387321715500794,0.006267115166390788,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,19.6139084250959,43.612514662310126,V4,unsupervised
block2,0.23263098927293338,0.008779329528122447,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,46.569976868704,112.93197779882912,V4,unsupervised
block3,0.3321381588507354,0.006673792421172439,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,78.87428860213971,117.51407091538088,V4,unsupervised
block4,0.257387486987964,0.006793241997650613,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,63.21705605376319,390.76025581351183,V4,unsupervised
block1,0.36188909547421777,0.0062302402011618074,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,27.00152872462665,37.35552304646143,V4,unsupervised
block2,0.2374321845953534,0.008150447112124072,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,44.11012079254836,73.03678414296142,V4,unsupervised
block3,0.3435108324354543,0.005561293528929768,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,66.6894936384193,101.75702049250971,V4,unsupervised
block4,0.3159048090075796,0.007257433290066372,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,34.49565510896212,208.22446397460564,V4,unsupervised
block1,0.3269680688502682,0.008210624623617326,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,19.741332660638353,29.788398572325004,V4,unsupervised
block2,0.24886504013968216,0.008609360691706924,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,45.62804310203846,75.82112114569289,V4,unsupervised
block3,0.3453408389911674,0.00615721195144048,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,74.20466104018078,111.00545268232116,V4,unsupervised
block4,0.3228616009042237,0.005720484596846356,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-pls,46.31114647835736,356.9351244451548,V4,unsupervised
